n_epochs,loss,l2_reg,lrate
628,0.13549999999999995,0.3125,0.18750812500000003
1626,0.12990000000000002,0.8125,0.687503125
1127,0.20740000000000003,0.0625,0.937500625
129,0.1412,0.5625,0.437505625
1876,0.1613,0.1875,0.312506875
878,0.1714,0.6875,0.812501875
379,0.14349999999999996,0.4375,0.562504375
1377,0.13239999999999996,0.9375,0.062509375
1689,0.11180000000000001,0.46875,0.0937590625
691,0.11099999999999999,0.96875,0.5937540625
192,0.17469999999999997,0.21875,0.8437515624999999
1190,0.12180000000000002,0.71875,0.34375656250000003
940,0.15590000000000004,0.09375,0.4687553125
1938,0.132,0.59375,0.9687503125
1439,0.12739999999999996,0.34375,0.7187528125
441,0.12680000000000002,0.84375,0.2187578125
1065,0.13480000000000003,0.15625,0.1562584375
67,0.15569999999999995,0.65625,0.6562534375
566,0.14449999999999996,0.40625,0.9062509375
1564,0.14259999999999995,0.90625,0.40625593750000005
316,0.1632,0.28125,0.2812571875
5,0.1904,0.0,1e-05
5,0.13329999999999997,1.0,1e-05
5,0.11450000000000005,1.0,1.0
2000,0.13119999999999998,1.0,1e-05
2000,0.13580000000000003,1.0,1.0
2000,0.22809999999999997,0.0,1.0
2000,0.14780000000000004,0.0,1e-05
5,0.17669999999999997,1.0,0.48287596729387466
1014,0.10999999999999999,1.0,1.0
2000,0.14200000000000002,0.6708024469407715,1e-05
854,0.10850000000000004,1.0,1e-05
1028,0.10609999999999997,1.0,1e-05
2000,0.14670000000000005,1.0,0.5320541117230057
2000,0.1502,0.3781294938921838,1e-05
704,0.1129,1.0,1.0
2000,0.137,0.6057736064246599,1e-05
802,0.12160000000000004,1.0,1.0
975,0.10860000000000003,0.5717500836827946,1e-05
948,0.11639999999999995,0.6126455748143892,1e-05
757,0.12490000000000001,1.0,1.0
821,0.12150000000000005,1.0,1.0
953,0.11150000000000004,1.0,1e-05
880,0.11809999999999998,1.0,1e-05
1201,0.12290000000000001,0.5914015897657476,1e-05
1185,0.11660000000000004,0.5948946294606059,1e-05
1013,0.12580000000000002,1.0,0.2166728905562087
755,0.11160000000000003,1.0,1e-05
1068,0.15280000000000005,1.0,1e-05
2000,0.15390000000000004,0.5630119316998846,1e-05
5,0.137,1.0,1.000000000000694e-05
781,0.11719999999999997,1.0,1.0
1095,0.10760000000000003,0.618867490808769,1e-05
5,0.1744,0.6849128539895416,1e-05
1112,0.11509999999999998,1.0,1e-05
1074,0.126,1.0,1e-05
566,0.132,1.0,1.0
783,0.12739999999999996,1.0,1.0
1045,0.12080000000000002,1.0,0.78299462175477
5,0.11450000000000005,1.0,1.0
694,0.1311,1.0,1e-05
1058,0.13090000000000002,1.0,0.46372530832790243
2000,0.1502,0.42481933390489435,1e-05
1207,0.10850000000000004,0.625080148127603,1e-05
1165,0.13660000000000005,1.0,1e-05
5,0.11450000000000005,1.0,1.0
1285,0.12570000000000003,1.0,1.0
1007,0.12380000000000002,1.0,0.4355638218340355
935,0.11019999999999996,1.0,0.488116709783798
1166,0.10709999999999997,0.6996467689797242,1e-05
5,0.11450000000000005,1.0,1.0
374,0.1048,1.0,1.0
5,0.11450000000000005,1.0,1.0
5,0.1361,0.7427406014939504,1.0
5,0.11450000000000005,1.0,1.0
798,0.125,1.0,0.5763502200822075
1212,0.124,1.0,0.5483984440228402
842,0.11299999999999999,1.0,0.5551527124678295
710,0.13070000000000004,1.0,1.0
5,0.11450000000000005,1.0,0.8008654250472951
466,0.13380000000000003,1.0,1.0
5,0.16400000000000003,1.0,1.0
2000,0.1552,0.5795870619774769,0.3860214775757301
952,0.14659999999999995,1.0,1.0
5,0.13329999999999997,1.0,1e-05
851,0.11670000000000003,1.0,0.7571522775490844
5,0.11450000000000005,1.0,0.7638909151542321
5,0.11450000000000005,1.0,0.5876155208892218
1159,0.10909999999999997,0.6677664650918943,1e-05
1205,0.1159,0.43660315442938125,1e-05
1191,0.1109,0.37711109176330565,1e-05
550,0.12619999999999998,1.0,0.577545715374037
920,0.10160000000000002,1.0,0.493607714127927
356,0.12129999999999996,1.0,1.0
1088,0.12849999999999995,1.0,0.4053517424337576
1206,0.10670000000000002,0.42015223220659187,1e-05
315,0.1139,0.890571224881002,1.0
1312,0.11209999999999998,1.0,1e-05
732,0.13129999999999997,1.0,1e-05
5,0.11450000000000005,1.0,0.6539630357242324
