min_samples_split,n_estimators,max_features,loss
59.0,572.0,0,0.021581271572040733
95.0,1956.0,0,0.021529544659746123
3.0,845.0,1,0.022535406050963446
30.0,1943.0,1,0.021615999510197926
20.0,1883.0,0,0.021870238186924643
82.0,847.0,1,0.021682673839242793
33.0,1305.0,0,0.021694596816283676
9.0,1712.0,0,0.022280660000542428
39.0,322.0,2,0.02160288533542105
74.0,202.0,0,0.021567762048407716
84.0,882.0,0,0.021532684676111198
10.0,710.0,0,0.022217766887262753
83.0,1666.0,2,0.02169767902440869
28.0,424.0,0,0.02175747758279392
83.0,564.0,2,0.021679681052939114
58.0,1023.0,0,0.02158285831310459
43.0,657.0,0,0.021609848811398123
80.0,1621.0,1,0.021658075325752504
81.0,1409.0,2,0.021679143213783454
6.0,1817.0,2,0.022206079796564672
80.0,743.0,1,0.02169191720023703
77.0,707.0,1,0.02167251316670043
4.0,665.0,0,0.02267647111848489
41.0,1336.0,1,0.02159478039133658
97.0,1621.0,0,0.021524287271154748
11.0,389.0,1,0.02199921651400437
26.0,1533.0,2,0.02166239438103822
94.0,477.0,2,0.021698099114651002
21.0,1211.0,0,0.021852005491698485
77.0,27.0,1,0.021694145282800326
4.0,1987.0,1,0.022410323781847197
52.0,568.0,1,0.021628151412987504
90.0,972.0,0,0.02153082194099362
49.0,838.0,0,0.021606663819892073
33.0,182.0,1,0.02160193789806498
97.0,253.0,2,0.021698543420686906
80.0,527.0,1,0.021669182026785812
20.0,60.0,2,0.021775721975621738
61.0,1680.0,0,0.021576499158414728
59.0,921.0,0,0.02158667377474108
43.0,1429.0,0,0.021620833008399946
93.0,1911.0,2,0.021674112088626397
98.0,1340.0,2,0.02169122209382482
82.0,1815.0,1,0.021689300433236757
72.0,1180.0,1,0.02166737522306263
93.0,1758.0,1,0.021683064678907724
60.0,1676.0,2,0.02167210545601448
6.0,267.0,1,0.022277260305096157
34.0,1194.0,1,0.02160624108686482
77.0,1360.0,0,0.021551137572598533
70.0,1722.0,0,0.02157106708387679
27.0,1685.0,1,0.02163370562186797
26.0,487.0,1,0.021683072988334818
87.0,524.0,2,0.021697058302123356
26.0,220.0,1,0.02169391643533764
75.0,1278.0,2,0.02167553856112535
23.0,891.0,2,0.0216884553137978
10.0,1292.0,1,0.022028993051882127
11.0,964.0,2,0.021986975801652077
24.0,706.0,1,0.021684338934222544
54.0,1719.0,1,0.021643732881180502
57.0,115.0,2,0.021698643580025698
31.0,1181.0,2,0.021627573590532707
39.0,1205.0,0,0.021649894771819337
35.0,768.0,1,0.021620878820531056
36.0,1860.0,0,0.02166482741095585
52.0,1292.0,2,0.021660018398644475
15.0,124.0,2,0.021858641640061842
44.0,1499.0,0,0.021610312139812227
73.0,151.0,1,0.021650456871083863
2.0,1379.0,0,0.022874877954226262
84.0,610.0,2,0.021666575820120205
92.0,690.0,0,0.021523821970075734
19.0,951.0,2,0.0217555818126071
46.0,1231.0,2,0.021606379826109866
46.0,1360.0,2,0.021618171272289738
66.0,1955.0,0,0.021561812204846768
81.0,764.0,2,0.021688330070726014
74.0,1542.0,2,0.02166922252952477
46.0,137.0,0,0.021630874727604197
8.0,1600.0,0,0.022311536757268415
64.0,885.0,2,0.021658502220985424
45.0,1332.0,1,0.02158768284084685
54.0,802.0,2,0.021664637839895265
31.0,1315.0,2,0.021640545056229074
88.0,241.0,2,0.02169441260526266
2.0,1535.0,2,0.022671341921116736
13.0,1710.0,0,0.022075820337861526
18.0,214.0,2,0.02179162740039485
7.0,1298.0,0,0.02241301458518662
31.0,541.0,2,0.0216195063270151
32.0,1737.0,2,0.021617808512323998
51.0,1838.0,2,0.021640418629540328
14.0,1647.0,0,0.022022333419171456
78.0,1484.0,0,0.021554233512092562
95.0,1923.0,2,0.02169097297331535
91.0,140.0,0,0.0215023712720272
30.0,535.0,0,0.021737529806394814
7.0,1598.0,2,0.022157110109389536
76.0,1303.0,1,0.02168657727378107
