n_epochs,loss,l2_reg,lrate
1361,0.1678868372190723,0.8828125,0.28906960937500004
613,0.1478598672047012,0.2578125,0.41406835937500003
1611,0.14526561914898534,0.7578125,0.914063359375
1112,0.1275148478448311,0.0078125,0.664065859375
2000,0.11810604376397654,0.0,1e-05
5,0.12539167771832074,1.0,1.0
5,0.12080454776534325,0.0,1.0
2000,0.10479152363613534,0.0,1.0
5,0.12697484428256534,0.0,1e-05
5,0.1866902867266428,1.0,1.000000000000694e-05
2000,0.10491663032110525,0.0,1.0
2000,0.1047269988930198,0.0,1.0
2000,0.10482723943796844,0.0,1.0
2000,0.10491666483905307,0.0,1.0
2000,0.11814734129116504,0.433775004392536,1.0
2000,0.10488777068896786,0.0,1.0
1560,0.1223628115986916,0.0,1.0
2000,0.11796165307319358,0.0,1e-05
2000,0.1203952990464099,0.0,0.7859105871578628
2000,0.11359888632325617,1.0,1.0
2000,0.12237443564311365,0.1995099999450655,1.0
5,0.12100961479267394,0.0,1.0
2000,0.10485381334777433,0.0,1.0
2000,0.12022825523416732,0.0,0.4374846714756859
2000,0.10488362708885995,0.0,1.0
2000,0.10487590862645407,0.0,1.0
2000,0.10469000788613847,0.0,1.0
921,0.12253205472917271,0.0,1.0
2000,0.10497931987745142,0.0,1.0
2000,0.10490725118635034,0.0,1.0
2000,0.11965103425754313,0.0,0.14256439953997907
2000,0.10482663502809335,0.0,1.0
2000,0.10482574023188038,0.0,1.0
2000,0.10472382826389011,0.0,1.0
5,0.12473589763786924,0.49397712109575476,1.0
2000,0.10484779162845442,0.0,1.0
2000,0.18632268896631096,1.0,1e-05
2000,0.1048317680198792,0.0,1.0
2000,0.10480283958485608,0.0,1.0
2000,0.10494948389578045,0.0,1.0
2000,0.10476973633569457,0.0,1.0
2000,0.10485993325748802,0.0,1.0
2000,0.10474371502058938,0.0,1.0
2000,0.10491712180449154,0.0,1.0
2000,0.10484208889970273,0.0,1.0
2000,0.10485221997508752,0.0,1.0
2000,0.10488961355616115,0.0,1.0
2000,0.10478116418050351,0.0,1.0
2000,0.10479392228860147,0.0,1.0
5,0.12074467831272623,0.0,1.0
2000,0.10474602888000999,0.0,1.0
2000,0.11400650731362687,1.0,1.0
798,0.12422421339137905,1.0,1.0
2000,0.1077403904843935,0.09180852457617253,1.0
2000,0.1047889612816607,0.0,1.0
2000,0.11691960362324616,0.3463647644645912,1.0
2000,0.11997103880211953,0.0,0.6421296940464306
2000,0.10482432762884562,0.0,1.0
2000,0.1048755765678739,0.0,1.0
2000,0.10478141863020066,0.0,1.0
1297,0.1232035036665594,0.0,1.0
2000,0.10478256404370538,0.0,1.0
2000,0.10480449512002425,0.0,1.0
2000,0.10484404342594128,0.0,1.0
2000,0.11404386330072705,1.0,1.0
2000,0.10484948626641921,0.0,1.0
2000,0.1048509123394678,0.0,1.0
2000,0.11950185097767171,0.0,0.6913136391394252
2000,0.11693036025134462,0.36476537825533084,1.0
2000,0.10484404342594128,0.0,1.0
2000,0.10483715492788463,0.0,1.0
2000,0.10913964595891479,0.012694753799777098,1.0
2000,0.10484404342594128,0.0,1.0
2000,0.10486426027275625,0.0,1.0
2000,0.10485633131981602,0.0,1.0
2000,0.10477207879494331,0.0,1.0
2000,0.10485913975367886,0.0,1.0
2000,0.104764748655839,0.0,1.0
2000,0.10479156802033399,0.0,1.0
2000,0.10489948744437509,0.0,1.0
2000,0.10481682488684808,0.0,1.0
1006,0.12273433261051052,0.0,1e-05
5,0.12524267891148275,1.0,1.0
2000,0.10482943244346754,0.0,1.0
2000,0.10479826286323468,0.0,1.0
2000,0.10487458353392623,0.0,1.0
2000,0.10487210703299553,0.0,1.0
2000,0.1049011936783865,0.0,1.0
1501,0.12266337901972785,0.0,1.0
2000,0.10480707460911041,0.0,1.0
5,0.12707913165535822,0.0,0.5989651244994177
2000,0.10483273618748523,0.0,1.0
2000,0.10484404342594128,0.0,1.0
2000,0.1048322368767346,0.0,1.0
2000,0.10485872947178142,0.0,1.0
2000,0.10477338727827637,0.0,1.0
2000,0.10482973506143833,0.0,1.0
2000,0.10476367773997187,0.0,1.0
5,0.12765983052374366,0.0,1e-05
1839,0.12265958256442074,0.0,0.9846990981675262
